"Job Title","Occupation","Company","City / State","Metro","Wage","Year"
"Agile Developer Team Member","Software Developers","Farmers Group, Inc.","Kannapolis, NC","Charlotte-Concord-Gastonia, NC-SC","$150,682","2026"
"Agile Development Manager","Computer and Information Systems Managers","Mobile Heartbeat LLC","Waltham, MA","Boston-Cambridge-Newton, MA-NH","$145,656","2026"
"Agile Development Senior","Software Developers","Federal Home Loan Mortgage Corporation","McLean, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV","$156,998","2026"
"Agile Development Senior","Software Quality Assurance Analysts and Testers","Federal Home Loan Mortgage Corporation","McLean, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV","$150,467","2026"
"Agile Development Sr.","Software Developers","Federal Home Loan Mortgage Corporation","Mclean, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV","$126,183","2026"
"Agile Development, Sr.","Software Developers","Federal Home Loan Mortgage Corporation","McLean, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV","$126,183","2026"
"Agile Process Lead-II","Information Technology Project Managers","JSM CONSULTING INC","Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA","$95,000","2026"
"Agile Product Owner Advisor","Information Technology Project Managers","Cigna-Evernorth Services Inc.","Bloomfield, CT","Hartford-West Hartford-East Hartford, CT","$125,876","2026"
"Agile Product Owner Senior","Software Developers","FIS Management Services, LLC","Jacksonville, FL","Jacksonville, FL","$128,455","2026"
"Agile Product Owner Senior","Software Developers","FIS Management Services, LLC","Kannapolis, NC","Charlotte-Concord-Gastonia, NC-SC","$128,455","2026"
"Agile Software Developer","Software Developers","U.S. Bank National Association","Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC","$133,536","2026"
"Agile Validation Lead Engineers","Validation Engineers","FCA US LLC","Auburn Hills, MI","Detroit-Warren-Dearborn, MI","$138,924","2026"
"AI Scientist","Computer and Information Research Scientists","Mistral AI, Inc.","Palo Alto, CA","San Jose-Sunnyvale-Santa Clara, CA","$330,000","2026"
"Algorithm Engineer","Physicists","KLA Corporation","Milpitas, CA","San Jose-Sunnyvale-Santa Clara, CA","$192,589","2026"
"Algorithm Engineer","Computer and Information Research Scientists","KLA Corporation","Milpitas, CA","San Jose-Sunnyvale-Santa Clara, CA","$168,508","2026"
"Algorithm Engineering Manager","Computer Systems Engineers/Architects","KLA Corporation","Milpitas, CA","San Jose-Sunnyvale-Santa Clara, CA","$250,949","2026"
"Allergy “ Immunology Physician","Allergists and Immunologists","Mayo Clinic","Jacksonville, FL","Jacksonville, FL","$427,750","2026"
"AMER-Compliance Manager","Software Quality Assurance Analysts and Testers","MUFG Bank, Ltd.","Walnut Creek, CA","San Francisco-Oakland-Hayward, CA","$143,620","2026"
"Americas Services Leader","Computer Network Support Specialists","Natilik Inc","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$92,040","2026"
"Ames Laboratory Scientist I","Chemists","Iowa State University of Science and Technology","Ames, IA","Ames, IA","$81,869","2026"
"Ames Laboratory Scientist I","Materials Scientists","Iowa State University of Science and Technology","Ames, IA","Ames, IA","$83,366","2026"
"Ames Laboratory Scientist II","Materials Scientists","Iowa State University of Science and Technology","Ames, IA","Ames, IA","$96,000","2026"
"AMS Technical Lead","Computer Programmers","IBM Corporation","Portland, OR","Portland-Vancouver-Hillsboro, OR-WA","$119,288","2026"
"Analog Circuit Design Engineer","Electronics Engineers, Except Computer","Altera Corporation","PORTLAND, OR","Portland-Vancouver-Hillsboro, OR-WA","$176,030","2026"
"Analog Design Engineer","Electronics Engineers, Except Computer","Texas Instruments Incorporated","SANTA CLARA, CA","San Jose-Sunnyvale-Santa Clara, CA","$206,500","2026"
"Analog Design Engineer","Electronics Engineers, Except Computer","Texas Instruments Incorporated","Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA","$217,720","2026"
"Analog Design Engineer","Electronics Engineers, Except Computer","CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD.","Austin, TX","Austin-Round Rock, TX","$170,434","2026"
"Analog Design Engineer","Electronics Engineers, Except Computer","CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD.","Chandler, AZ","Phoenix-Mesa-Scottsdale, AZ","$163,218","2026"
"Analog Design Engineer","Electronics Engineers, Except Computer","Texas Instruments Incorporated","Dallas, TX","Dallas-Fort Worth-Arlington, TX","$148,000","2026"
"Analog Design Engineer","Electronics Engineers, Except Computer","CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD.","Chandler, AZ","Phoenix-Mesa-Scottsdale, AZ","$185,194","2026"
"Analog Engineer","Electronics Engineers, Except Computer","Intel Corporation ","Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA","$186,472","2026"
"Analog Engineer","Electronics Engineers, Except Computer","Intel Corporation ","Chandler, AZ","Phoenix-Mesa-Scottsdale, AZ","$138,715","2026"
"Analog Engineer","Electronics Engineers, Except Computer","Intel Corporation ","Hillsboro, OR","Portland-Vancouver-Hillsboro, OR-WA","$121,680","2026"
"Analyst","Computer Systems Analysts","TATA CONSULTANCY SERVICES LIMITED","Deerfield, IL","Chicago-Naperville-Elgin, IL-IN-WI","$81,702","2026"
"Analyst","Computer Systems Analysts","TATA CONSULTANCY SERVICES LIMITED","Irving, TX","Dallas-Fort Worth-Arlington, TX","$98,925","2026"
"Analyst","Computer Systems Analysts","TATA CONSULTANCY SERVICES LIMITED","Brentwood, TN","Nashville-Davidson--Murfreesboro--Franklin, TN","$89,190","2026"
"Analyst","Financial and Investment Analysts","MPG Operations LLC","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$148,678","2026"
"ANALYST","Computer Systems Analysts","TATA CONSULTANCY SERVICES LIMITED","SAN ANTONIO, TX","San Antonio-New Braunfels, TX","$88,026","2026"
"Analyst","Computer Systems Analysts","Tata Consultancy Services Limited","Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA","$92,539","2026"
"Analyst","Financial and Investment Analysts","Hudson Bay Capital Management LP","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$200,000","2026"
"Analyst","Financial and Investment Analysts","Hudson Bay Capital Management LP","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$200,000","2026"
"Analyst","Statisticians","MPG Operations LLC","Santa Monica, CA","Los Angeles-Long Beach-Anaheim, CA","$96,595","2026"
"Analyst","Computer Systems Analysts","TATA CONSULTANCY SERVICES LIMITED","San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA","$131,560","2026"
"Analyst","Financial and Investment Analysts","CITADEL AMERICAS SERVICES LLC","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$125,000","2026"
"Analyst","Computer Systems Analysts","TATA CONSULTANCY SERVICES LIMITED","Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA","$92,539","2026"
"Analyst","Financial and Investment Analysts","NUT TREE CAPITAL MANAGEMENT LP","NEW YORK, NY","New York-Newark-Jersey City, NY-NJ-PA","$300,000","2026"
"Analyst","Credit Analysts","Moody's Investors Service, Inc.","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$158,560","2026"
"Analyst","Computer Systems Analysts","TATA CONSULTANCY SERVICES LIMITED","Sunnyvale, CA","San Jose-Sunnyvale-Santa Clara, CA","$131,560","2026"
"ANALYST - INFORMATION SECURITY","Information Security Analysts","TATA CONSULTANCY SERVICES LIMITED","INDIANAPOLIS, IN","Indianapolis-Carmel-Anderson, IN","$74,963","2026"
"ANALYST - TESTING","Software Quality Assurance Analysts and Testers","TATA CONSULTANCY SERVICES LIMITED","WEST DES MOINES, IA","Des Moines-West Des Moines, IA","$76,482","2026"
"Analyst Business Systems IT","Software Developers","Medline Industries, LP.","Northbrook, IL","Chicago-Naperville-Elgin, IL-IN-WI","$104,040","2026"
"Analyst Business Systems IT","Software Developers","Medline Industries, LP.","Buffalo Grove, IL","Chicago-Naperville-Elgin, IL-IN-WI","$104,040","2026"
"Analyst General","Computer Systems Analysts","TECHNOSOFT CORPORATION","Albuquerque, NM","Albuquerque, NM","$113,000","2026"
"Analyst II, IT Business","Business Intelligence Analysts","Boston Scientific Corporation","MARLBOROUGH, MA","Boston-Cambridge-Newton, MA-NH","$108,150","2026"
"Analyst III, Technology Operations","Business Intelligence Analysts","WAL-MART ASSOCIATES, INC.","Bentonville, AR","Fayetteville-Springdale-Rogers, AR-MO","$110,732","2026"
"Analyst Principal “ Functional, SAP FICO","Computer Programmers","Westlake Management Services Inc. ","Houston, TX","Houston-The Woodlands-Sugar Land, TX","$145,447","2026"
"Analyst Programmer","Computer Programmers","Accelerated Technologies Inc.","Plainsboro, NJ","New York-Newark-Jersey City, NY-NJ-PA","$93,000","2026"
"Analyst Sales","Business Intelligence Analysts","NVIDIA Corporation","Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA","$194,834","2026"
"Analyst Sales","Business Intelligence Analysts","NVIDIA Corporation","Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA","$181,714","2026"
"Analyst Systems II","Information Technology Project Managers","UNM Hospital","Albuquerque, NM","Albuquerque, NM","$36","2026"
"Analyst Systems II","Computer Systems Analysts, Non R&D","UNM Hospital","Albuquerque, NM","Albuquerque, NM","$39","2026"
"Analyst Systems IT","Business Intelligence Analysts","Medline Industries, LP.","Leander, TX","Austin-Round Rock, TX","$105,409","2026"
"Analyst V Supply Chain Advanced Analytics","Data Scientists","ADUSA Procurement, LLC","Salisbury, NC","","$107,016","2026"
"Analyst “ Information Security","Information Security Analysts","TATA CONSULTANCY SERVICES LIMITED","Richardson, TX","Dallas-Fort Worth-Arlington, TX","$128,253","2026"
"Analyst “ Testing","Software Quality Assurance Analysts and Testers","TATA CONSULTANCY SERVICES LIMITED","Kansas City, MO","Kansas City, MO-KS","$87,526","2026"
"Analyst “ Testing","Software Quality Assurance Analysts and Testers","TATA CONSULTANCY SERVICES LIMITED","White Plains, NY","New York-Newark-Jersey City, NY-NJ-PA","$102,086","2026"
"Analyst “ Testing","Software Quality Assurance Analysts and Testers","TATA CONSULTANCY SERVICES LIMITED","Woonsocket, RI","Providence-Warwick, RI-MA","$85,987","2026"
"Analyst “ Testing","Software Quality Assurance Analysts and Testers","TATA CONSULTANCY SERVICES LIMITED","Boston, MA","Boston-Cambridge-Newton, MA-NH","$99,299","2026"
"Analyst,  Advisors & Consulting Services","Management Analysts","Mastercard International Incorporated","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI","$98,946","2026"
"Analyst, Business Systems IT","Software Developers","Medline Industries, LP.","Mundelein, IL","Chicago-Naperville-Elgin, IL-IN-WI","$127,305","2026"
"Analyst, Business Systems IT","Software Developers","Medline Industries, LP.","Northbrook, IL","Chicago-Naperville-Elgin, IL-IN-WI","$127,350","2026"
"Analyst, Credit Risk Mgmt","Operations Research Analysts","T-Mobile USA, Inc.","Frisco, TX","Dallas-Fort Worth-Arlington, TX","$110,854","2026"
"Analyst, Data Intelligence","Statisticians","H3 Insights, LLC","Dallas, TX","Dallas-Fort Worth-Arlington, TX","$101,000","2026"
"Analyst, Data Science","Data Scientists","Ahold Delhaize USA Services, LLC","White Plains, NY","New York-Newark-Jersey City, NY-NJ-PA","$147,160","2026"
"Analyst, Financial Sr","Financial and Investment Analysts","Freedom Mortgage Corporation","Marlton, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","$90,584","2026"
"Analyst, IT People Systems","Computer Systems Engineers/Architects","Micron Technology, Inc.","San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA","$132,636","2026"
"Analyst, Property Securities - KBGFJG221267-3","Financial and Investment Analysts","First Sentier Investors (US) LLC","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$204,000","2026"
"Analyst, Sales","Financial and Investment Analysts","GOLDMAN SACHS & CO. LLC","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI","$102,000","2026"
"Analytical Development Research Scientist","Medical Scientists, Except Epidemiologists","Vertex Pharmaceuticals Incorporated","Boston, MA","Boston-Cambridge-Newton, MA-NH","$117,229","2026"
"Analytical Scientist","Chemists","Veranova, L.P.","Devens, MA","Boston-Cambridge-Newton, MA-NH","$119,995","2026"
"Analytics & BI Engineer II","Data Scientists","Kiewit Engineering Group Inc. ","Lenexa, KS","Kansas City, MO-KS","$105,291","2026"
"Analytics Analyst Lead","Business Intelligence Analysts","OneMain General Services Corporation","Irving, TX","Dallas-Fort Worth-Arlington, TX","$141,773","2026"
"Analytics Analyst Sr.","Statisticians","OneMain General Services Corporation","Wilmington, DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","$90,480","2026"
"Analytics and BI Manager","Business Intelligence Analysts","Twilio, Inc.","Newington, CT","Hartford-West Hartford-East Hartford, CT","$157,139","2026"
"Analytics Associate IV","Data Scientists","Presbyterian Healthcare Services","Albuquerque, NM","Albuquerque, NM","$48","2026"
