"Job Title","Occupation","Company","City / State","Metro","Wage","Year"
"Accountants and Auditors - KBGFJG47699-23","Accountants and Auditors","Ernst & Young U.S. LLP","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$232,000","2026"
"Accountants and Auditors - KBGFJG67604-13","Accountants and Auditors","Ernst & Young U.S. LLP","Forest Hills, NY","New York-Newark-Jersey City, NY-NJ-PA","$149,900","2026"
"Accountants and Auditors - KBGFJG67604-13","Accountants and Auditors","Ernst & Young U.S. LLP","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$149,900","2026"
"Accountants and Auditors - KBGFJG71239-13","Accountants and Auditors","Ernst & Young U.S. LLP","The Colony, TX","Dallas-Fort Worth-Arlington, TX","$93,101","2026"
"Accountants and Auditors - KBGFJG71239-13","Accountants and Auditors","Ernst & Young U.S. LLP","Dallas, TX","Dallas-Fort Worth-Arlington, TX","$93,101","2026"
"Accountants and Auditors - KBGFJG71906-15","Accountants and Auditors","Ernst & Young U.S. LLP","Johnston, RI","Providence-Warwick, RI-MA","$129,000","2026"
"Accountants and Auditors - KBGFJG71906-15","Accountants and Auditors","Ernst & Young U.S. LLP","Boston, MA","Boston-Cambridge-Newton, MA-NH","$129,000","2026"
"Accountants and Auditors - KBGFJG71906-15","Accountants and Auditors","Ernst & Young U.S. LLP","Brighton, MA","Boston-Cambridge-Newton, MA-NH","$129,000","2026"
"Accountants and Auditors - KBGFJG71906-15","Accountants and Auditors","Ernst & Young U.S. LLP","Boston, MA","Boston-Cambridge-Newton, MA-NH","$129,000","2026"
"Accountants and Auditors - KBGFJG83618-10","Accountants and Auditors","Ernst & Young U.S. LLP","Dallas, TX","Dallas-Fort Worth-Arlington, TX","$154,889","2026"
"Accountants and Auditors - KBGFJG83618-10","Accountants and Auditors","Ernst & Young U.S. LLP","Mckinney, TX","Dallas-Fort Worth-Arlington, TX","$154,889","2026"
"Accountants and Auditors - KBOEYTEST53-18","Accountants and Auditors","Ernst & Young U.S. LLP","Jersey City, NJ","New York-Newark-Jersey City, NY-NJ-PA","$194,744","2026"
"Accountants and Auditors - KBOEYTEST53-18","Accountants and Auditors","Ernst & Young U.S. LLP","Hoboken, NJ","New York-Newark-Jersey City, NY-NJ-PA","$194,744","2026"
"Accounting & Finance Associate","Accountants and Auditors","Getac, Inc.","Irvine, CA","Los Angeles-Long Beach-Anaheim, CA","$83,000","2026"
"Accounting / Financial Manager","Financial Managers","The University of Southern California","Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA","$104,374","2026"
"Accounting Analyst","Accountants and Auditors","Shri Swami Narayan LLC","Newark, DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","$96,500","2026"
"Accounting Manager","Accountants and Auditors","Atlantic Trading & Marketing, Inc.","Houston, TX","Houston-The Woodlands-Sugar Land, TX","$170,000","2026"
"Accounting Supervisor","Accountants and Auditors","Cummins Inc.","INDIANAPOLIS, IN","Indianapolis-Carmel-Anderson, IN","$102,398","2026"
"Accounting Supervisor","Accountants and Auditors","Cummins Inc.","INDIANAPOLIS, IN","Indianapolis-Carmel-Anderson, IN","$102,398","2026"
"Accounts Payable Accountant","Accountants and Auditors","ByteDance Inc.","Culver City, CA","","$81,900","2026"
