"Job Title","Occupation","Company","City / State","Metro","Wage","Year"
"AI Led Assurance Manager","Software Developers","INDIUM SOFTWARE, INC.","Princeton, NJ","Trenton, NJ","$127,000","2025"
"AI LLM Technology Architecture Assoc Mgr","Computer Systems Analysts","Accenture LLP","Denver, CO","Denver-Aurora-Lakewood, CO","$130,100","2025"
"AI LLM Technology Architecture Manager","Computer Systems Analysts","Accenture LLP","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI","$168,300","2025"
"AI LLM Technology Architecture Manager","Computer Systems Analysts","Accenture LLP","Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA","$155,800","2025"
"AI LLM Technology Architecture Senior Manager","Software Developers","Accenture LLP","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","$230,000","2025"
"AI Model Training Engineer","Computer Systems Engineers/Architects","BoxWorks Technologies Inc.","West Valley, UT","Salt Lake City, UT","$25","2025"
"AI Offering Specialist","Software Developers","Lenovo Global Technology (United States) Inc","Morrisville, NC","Raleigh, NC","$109,262","2025"
"AI Operations Engineer","Operations Research Analysts","Cisco Systems, Inc.","Holmdel, NJ","New York-Newark-Jersey City, NY-NJ-PA","$177,600","2025"
"AI Operations Engineer","Operations Research Analysts","Cisco Systems, Inc.","Research Triangle Park, NC","Raleigh, NC","$159,800","2025"
"AI Ops and DevOps Engineer","Software Developers","Kunai Inc.","North Brunswick Township, NJ","New York-Newark-Jersey City, NY-NJ-PA","$155,605","2025"
"AI product manager","Information Technology Project Managers","Siemens Industry Software Inc.","Houston, TX","Houston-The Woodlands-Sugar Land, TX","$197,000","2025"
"AI Product Manager","Computer and Information Systems Managers","Flow Specialty Insurance, Inc.","Mountain View, CA","San Jose-Sunnyvale-Santa Clara, CA","$180,000","2025"
"AI Prompt Engineer I","Software Quality Assurance Analysts and Testers","JustAnswer LLC","Daly City, CA","San Francisco-Oakland-Hayward, CA","$111,363","2025"
"AI Research and Development Lead","Information Technology Project Managers","American Express Travel Related Services Company, Inc.","Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","$98,339","2025"
"AI Research Engineer","Data Scientists","AlphaSense Inc.","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$149,700","2025"
"AI Research Engineer","Bioinformatics Scientists","University of Pittsburgh","Pittsburgh, PA","Pittsburgh, PA","$57,000","2025"
"AI Research Engineer","Software Developers","Dyna Robotics Inc.","Palo Alto, CA","San Jose-Sunnyvale-Santa Clara, CA","$226,158","2025"
"AI Research Scientist","Computer and Information Research Scientists","Meta Platforms, Inc","Menlo Park, CA","San Francisco-Oakland-Hayward, CA","$214,032","2025"
"Ai Research Scientist","Computer and Information Research Scientists","Meta Platforms, Inc","Seattle, WA","Seattle-Tacoma-Bellevue, WA","$186,153","2025"
"AI Research Scientist","Computer and Information Research Scientists","Meta Platforms, Inc","Redmond, WA","Seattle-Tacoma-Bellevue, WA","$180,383","2025"
"AI Research Scientist","Data Scientists","Meta Platforms, Inc","Bellevue, WA","Seattle-Tacoma-Bellevue, WA","$203,350","2025"
"AI Research Scientist","Computer and Information Research Scientists","Meta Platforms, Inc","Sunnyvale, CA","San Jose-Sunnyvale-Santa Clara, CA","$215,658","2025"
"AI Research Scientist","Computer Systems Analysts","Latent AI Inc","Suite 301, NJ","Trenton, NJ","$176,500","2025"
"AI Research Scientist","Computer and Information Research Scientists","Meta Platforms, Inc","Bellevue, WA","Seattle-Tacoma-Bellevue, WA","$179,481","2025"
"AI Researcher","Software Developers","Cisco Systems, Inc.","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","$127,900","2025"
