"Job Title","Occupation","Company","City / State","Metro","Wage","Year"
"Associate Director of Supply Chain Operations","Supply Chain Managers","Zeta Charter Schools, Inc.","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$117,000","2025"
"Associate Director “ Supply Chain Systems","Logistics Engineers","Pfizer Inc.","Newton, MA","Boston-Cambridge-Newton, MA-NH","$135,100","2025"
"Associate Director, Claims","Architectural and Engineering Managers","HKA Global LLC","San Diego, CA","San Diego-Carlsbad, CA","$166,000","2025"
"Associate Director, Claims","Architectural and Engineering Managers","HKA Global LLC","San Diego, CA","San Diego-Carlsbad, CA","$166,000","2025"
"Associate Director, Data Science and AI","Data Scientists","AbbVie Inc.","Columbus, IN","Columbus, IN","$195,500","2025"
"Associate Director, Global Medical Affairs","Medical and Health Services Managers","Alexion Pharmaceuticals, Inc.","Boston, MA","Boston-Cambridge-Newton, MA-NH","$200,000","2025"
"Associate Director, Regulatory Affairs","Regulatory Affairs Specialists","Micro Labs USA, Inc.","Somerset, NJ","New York-Newark-Jersey City, NY-NJ-PA","$120,000","2025"
"Associate Director, Regulatory Affairs","Regulatory Affairs Managers","SBM Life Science Corp.","Cary, NC","Raleigh, NC","$106,454","2025"
"Associate Director, Regulatory Affairs","Regulatory Affairs Specialists","QIAGEN Sciences, LLC","Germantown, MD","Washington-Arlington-Alexandria, DC-VA-MD-WV","$159,750","2025"
"Associate Director, Regulatory Affairs","Regulatory Affairs Specialists","Alere Inc.","Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA","$150,000","2025"
"Associate Director, Regulatory Affairs","Regulatory Affairs Managers","Alcon Research, LLC","San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA","$182,000","2025"
